0,テスト,てすと,てすと2,てすと3
1,ギル,ぎる
2,ファイアシャード,ふぁいあしゃーど
3,アイスシャード,あいすしゃーど
4,ウィンドシャード,うぃんどしゃーど
5,アースシャード,あーすしゃーど
6,ライトニングシャード,らいとにんぐしゃーど
7,ウォーターシャード,うぉーたーしゃーど
8,ファイアクリスタル,ふぁいあくりすたる
9,アイスクリスタル,あいすくりすたる
10,ウィンドクリスタル,うぃんどくりすたる
11,アースクリスタル,あーすくりすたる
12,ライトニングクリスタル,らいとにんぐくりすたる
13,ウォータークリスタル,うぉーたーくりすたる
14,ファイアクラスター,ふぁいあくらすたー
15,アイスクラスター,あいすくらすたー
16,ウィンドクラスター,うぃんどくらすたー
17,アースクラスター,あーすくらすたー
18,ライトニングクラスター,らいとにんぐくらすたー
19,ウォータークラスター,うぉーたーくらすたー
20,黒渦団軍票,こっかだんぐんぴょう
21,双蛇党軍票,そうじゃとうぐんぴょう
22,不滅隊軍票,ふめつたいぐんぴょう
23,アラガントームストーン:哲学,あらがんとーむすとーん:てつがく
24,アラガントームストーン:神話,あらがんとーむすとーん:しんわ
25,対人戦績,たいじんせんせき
26,アラガントームストーン:戦記,あらがんとーむすとーん:しんわ
27,同盟記章,どうめいきしょう
28,アラガントームストーン:詩学,あらがんとーむすとーん:しがく
29,マンダヴィル・ゴールドソーサーポイント,まんだゔぃる・ごーるどそーさーぽいんと
30,アラガントームストーン:法典,あらがんとーむすとーん:ほうてん
31,アラガントームストーン:禁書,あらがんとーむすとーん:きんしょ
32,アラガントームストーン:伝承,あらがんとーむすとーん:でんしょう
33,アラガントームストーン:聖典,あらがんとーむすとーん:せいてん
34,アラガントームストーン:真理,あらがんとーむすとーん:しんり
35,アラガントームストーン:万物,あらがんとーむすとーん:ばんぶつ
36,アラガントームストーン:虚構,あらがんとーむすとーん:きょこう
37,アラガントームストーン:創世,あらがんとーむすとーん:そうせい
38,アラガントームストーン:魔典,あらがんとーむすとーん:まてん
39,アラガントームストーン:幻想,あらがんとーむすとーん:げんそう
40,アラガントームストーン:奇譚,あらがんとーむすとーん:きたん
41,アラガントームストーン:黙示,あらがんとーむすとーん:もくじ
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,†グラディウス,†ぐらでぃうす
101,†ダガー,†だがー
102,†スパタ,†すぱた
103,†ブラインダガー,†ぶらいんだがー
104,†サイレスダガー,†さいれすだがー
105,†ブラスグラディウス,†ぶらすぐらでぃうす
106,†ブラスダガー,†ぶらすだがー
107,†パライズダガー,†ぱらいずだがー
108,†スリプルダガー,†すりぷるだがー
109,†マクアフティル,†まくあふてぃる
110,†アイアングラディウス,†あいあんぐらでぃうす
111,†アイアンダガー,†あいあんだがー
112,†アイアンスパタ,†あいあんすぱた
113,†フレンジーダガー,†ふれんじーだがー
114,†ポイズンダガー,†ぽいずんだがー
115,†エルムマクアフティル,†えるむまくあふてぃる
116,†ビースパタ,†びーすぱた
117,†ファルシオン,†ふぁるしおん
118,†ショートソード,†しょーとそーど
119,†ウォルナットマクアフティル,†うぉるなっとまくあふてぃる
120,†ロングソード,†ろんぐそーど
121,†トゥースドファルシオン,†とぅーすどふぁるしおん
122,†コンドルマクアフティル,†こんどるまくあふてぃる
123,†オークマクアフティル,†おーくまくあふてぃる
124,†ホラ,†ほら
125,†ヒマンテス,†ひまんてす
126,†メタルナックル,†めたるなっくる
127,†セスタス,†せすたす
128,†ブラスナックル,†ぶらすなっくる
129,†トータスホラ,†とーたすほら
130,†トードセスタス,†とーどせすたす
131,†スパイクナックル,†すぱいくなっくる
132,†ボアヒマンテス,†ぼあひまんてす
133,†バグナウ,†ばぐなう
134,†クラブホラ,†くらぶほら
135,†スマザーバグナウ,†すまざーばぐなう
136,†デッドハートバグナウ,†でっどはーとばぐなう
137,†ペイストセスタス,†ぺいすとせすたす
138,†ジェードホラ,†じぇーどほら
139,†ウォーアクス,†うぉーあくす
140,†ラブリュス,†らぶりゅす
141,†スパイクドラブリュス,†すぱいくどらぶりゅす
142,†ストームアクス,†すとーむあくす
143,†アイアンウォーアクス,†あいあんうぉーあくす
144,†アイアンラブリュス,†あいあんらぶりゅす
145,†スパイクドアイアンラブリュス,†すぱいくどあいあんらぶりゅす
146,†インフェルノアクス,†いんふぇるのあくす
147,†ブージ,†ぶーじ
148,†バルディッシュ,†ばるでぃっしゅ
149,†ビル,†びる
150,†サンダーストームアクス,†さんだーすとーむあくす
151,†クレステッドブージ,†くれすてっどぶーじ
152,†スピア,†すぴあ
153,†ハープーン,†はーぷーん
154,†フェザーハープーン,†ふぇざーはーぷーん
155,†ブラススピア,†ぶらすすぴあ
156,†アイアンスピア,†あいあんすぴあ
157,†ランス,†らんす
158,†トータスハープーン,†とーたすはーぷーん
159,†ギザルメ,†ぎざるめ
160,†バトルフォーク,†ばとるふぉーく
161,†ヘヴィランス,†へゔぃらんす
162,†ヤーゾンハープーン,†やーぞんはーぷーん
163,†ジャールギザルメ,†じゃーるぎざるめ
164,†バナレットランス,†ばなれっとらんす
